name;country;male;female;unisex
Abaz;Albania;True;False;False
Abdulla;Albania;True;False;False
Abdyl;Albania;True;False;False
Abedin;Albania;True;False;False
Ada;Albania;False;True;False
Adela;Albania;False;True;False
Adelina;Albania;False;True;False
Adem;Albania;True;False;False
Admir;Albania;True;False;False
Adrian;Albania;True;False;False
Adriana;Albania;False;True;False
Adriatik;Albania;True;False;False
Afrim;Albania;True;False;False
Agim;Albania;True;False;False
Agim;Albania;True;False;False
Agim;Albania;True;False;False
Agim;Albania;True;False;False
Agron;Albania;True;False;False
Agron;Albania;True;False;False
Ahmet;Albania;True;False;False
Aida;Albania;False;True;False
Aida;Albania;False;True;False
Ajet;Albania;True;False;False
Alba;Albania;False;True;False
Alban;Albania;True;False;False
Albana;Albania;False;True;False
Albana;Albania;False;True;False
Albana;Albania;False;True;False
Albana;Albania;False;True;False
Albert;Albania;True;False;False
Albert;Albania;True;False;False
Albi;Albania;True;False;False
Albina;Albania;False;True;False
Alda;Albania;False;True;False
Aleko;Albania;True;False;False
Aleks;Albania;True;False;False
Aleksander;Albania;True;False;False
Aleksandra;Albania;False;True;False
Alfred;Albania;True;False;False
Alfred;Albania;True;False;False
Ali;Albania;True;False;False
Ali;Albania;True;False;False
Alket;Albania;True;False;False
Alketa;Albania;False;True;False
Alma;Albania;False;True;False
Alma;Albania;False;True;False
Alma;Albania;False;True;False
Alma;Albania;False;True;False
Altin;Albania;True;False;False
Altin;Albania;True;False;False
Alush;Albania;True;False;False
Amarildo;Albania;True;False;False
Ana;Albania;False;True;False
Anastas;Albania;True;False;False
Andi;Albania;True;False;False
Andon;Albania;True;False;False
Andrea;Albania;False;True;False
Andrea;Albania;False;True;False
Anesti;Albania;True;False;False
Anila;Albania;False;True;False
Anila;Albania;False;True;False
Anila;Albania;False;True;False
Anila;Albania;False;True;False
Anisa;Albania;False;True;False
Anita;Albania;False;True;False
Anjeza;Albania;False;True;False
Anton;Albania;True;False;False
Antoneta;Albania;False;True;False
Apostol;Albania;True;False;False
Aqif;Albania;True;False;False
Arben;Albania;True;False;False
Arben;Albania;True;False;False
Arben;Albania;True;False;False
Arben;Albania;True;False;False
Arber;Albania;True;False;False
Ardian;Albania;True;False;False
Ardian;Albania;True;False;False
Ardiana;Albania;False;True;False
Ardit;Albania;True;False;False
Ardita;Albania;False;True;False
Arian;Albania;True;False;False
Arif;Albania;True;False;False
Ariola;Albania;False;True;False
Arjan;Albania;True;False;False
Arjan;Albania;True;False;False
Arjana;Albania;False;True;False
Arjola;Albania;False;True;False
Arlind;Albania;True;False;False
Arlinda;Albania;False;True;False
Armand;Albania;True;False;False
Armanda;Albania;False;True;False
Armando;Albania;True;False;False
Arqile;Albania;False;True;False
Arta;Albania;False;True;False
Artan;Albania;True;False;False
Artan;Albania;True;False;False
Artur;Albania;True;False;False
Artur;Albania;True;False;False
Asllan;Albania;True;False;False
Asqeri;Albania;True;False;False
Astrit;Albania;True;False;False
Astrit;Albania;True;False;False
Athina;Albania;False;True;False
Aurel;Albania;True;False;False
Aurela;Albania;False;True;False
Aurora;Albania;False;True;False
Avni;Albania;True;False;False
Azem;Albania;True;False;False
Baftjar;Albania;True;False;False
Bajram;Albania;True;False;False
Bardha;Albania;False;True;False
Bardhok;Albania;True;False;False
Bardhyl;Albania;True;False;False
Bashkim;Albania;True;False;False
Bashkim;Albania;True;False;False
Bedri;Albania;True;False;False
Behar;Albania;True;False;False
Bekim;Albania;True;False;False
Beqir;Albania;True;False;False
Besar;Albania;True;False;False
Besim;Albania;True;False;False
Besjana;Albania;False;True;False
Besmir;Albania;True;False;False
Besmira;Albania;False;True;False
Besnik;Albania;True;False;False
