name;lat;long;country;population
Aibak;36.2534;68.0394;Afghanistan;4938
Andkhoy;36.9500;65.1167;Afghanistan;37887
Asadabad;34.8742;71.1528;Afghanistan;48400
Baghlan;36.1328;68.7000;Afghanistan;39228
Balkh;36.7581;66.8989;Afghanistan;77000
Bamyan;34.8167;67.8167;Afghanistan;61863
Baraki Barak;33.9667;68.9667;Afghanistan;22305
Bazarak;35.3129;69.5152;Afghanistan;1000
Buyni Qarah;36.3172;66.8747;Afghanistan;5842
Charikar;35.0183;69.1679;Afghanistan;53676
Faizabad;37.1298;70.5792;Afghanistan;64704
Farah;32.3436;62.1194;Afghanistan;73647
Fayroz Koh;34.5225;65.2517;Afghanistan;15000
Gardez;33.5931;69.2297;Afghanistan;70000
Ghazni;33.5492;68.4233;Afghanistan;143379
Herat;34.3738;62.1792;Afghanistan;556205
Jalalabad;34.4303;70.4528;Afghanistan;263312
Kabul;34.5328;69.1658;Afghanistan;4273156
Kandahar;31.6078;65.7053;Afghanistan;614254
Karukh;34.4868;62.5918;Afghanistan;17484
Khanabad;36.6831;69.1636;Afghanistan;26803
Khost;33.3333;69.9167;Afghanistan;160214
Khulm;36.6833;67.6833;Afghanistan;28078
Kotah-ye `Ashro;34.4500;68.8000;Afghanistan;35008
Kunduz;36.7280;68.8725;Afghanistan;259809
Lashkar Gah;31.5938;64.3716;Afghanistan;201546
Mahmud-e Raqi;35.0167;69.3333;Afghanistan;7407
Maidan Shahr;34.3972;68.8697;Afghanistan;35008
Maimanah;35.9302;64.7701;Afghanistan;199795
Mazar-e Sharif;36.7000;67.1167;Afghanistan;469247
Mehtar Lam;34.6683;70.2089;Afghanistan;17345
Nili;33.7218;66.1302;Afghanistan;1000
Parun;35.4206;70.9226;Afghanistan;1000
Pul-e Khumri;35.9500;68.7000;Afghanistan;113500
Pul-e `Alam;33.9953;69.0227;Afghanistan;1000
Qal`ah-ye Now;34.9900;63.1200;Afghanistan;5340
Qal`ah-ye Zal;37.0150;68.4672;Afghanistan;18000
Qalat;32.1061;66.9069;Afghanistan;12191
Sar-e Pul;36.2214;65.9278;Afghanistan;51075
Sharan;33.1757;68.7304;Afghanistan;1000
Shibirghan;36.6650;65.7520;Afghanistan;175599
Taluqan;36.7167;69.5167;Afghanistan;263800
Tarin Kot;32.6333;65.8667;Afghanistan;10000
Zaranj;30.9600;61.8600;Afghanistan;49851
Zarghun Shahr;32.8500;68.4167;Afghanistan;13737
Bajram Curri;42.3582;20.0760;Albania;5340
Ballsh;40.5991;19.7359;Albania;7657
Belsh;40.9833;19.8833;Albania;8781
Berat;40.7049;19.9497;Albania;36496
Bilisht;40.6275;20.9900;Albania;7114
Bulqize;41.5000;20.2167;Albania;8177
Burrel;41.6000;20.0000;Albania;10862
Cerrik;41.0333;19.9833;Albania;6695
Corovode;40.5042;20.2272;Albania;4051
Delvine;39.9494;20.0958;Albania;5754
Divjake;40.9964;19.5327;Albania;8445
Durres;41.3242;19.4558;Albania;113249
Elbasan;41.1125;20.0822;Albania;78703
Erseke;40.3333;20.6833;Albania;3746
Fier;40.7167;19.5500;Albania;120655
Fushe-Kruje;41.4833;19.7167;Albania;18477
Gjirokaster;40.0758;20.1389;Albania;23437
Gramsh;40.8667;20.1833;Albania;8440
Kamez;41.3833;19.7667;Albania;126777
Kavaje;41.1833;19.5500;Albania;29354
Korce;40.6167;20.7667;Albania;51152
Kruje;41.5178;19.7978;Albania;11721
Krume;42.1961;20.4146;Albania;6006
Kucove;40.8039;19.9144;Albania;12654
Kukes;42.0758;20.4231;Albania;16719
Lac;41.6353;19.7131;Albania;17086
Lezhe;41.7805;19.6434;Albania;15510
Libonik;40.7500;20.7167;Albania;8922
Librazhd;41.1833;20.3167;Albania;6937
Librazhd-Qender;41.1969;20.3356;Albania;12691
Lushnje;40.9333;19.7000;Albania;31105
Mamurras;41.5775;19.6922;Albania;8282
Patos;40.6841;19.6194;Albania;15397
Peqin;41.0500;19.7500;Albania;6353
Permet;40.2333;20.3500;Albania;5945
Peshkopi;41.6831;20.4289;Albania;13251
Pogradec;40.9000;20.6500;Albania;20848
Prrenjas;41.0667;20.5500;Albania;5847
Puke;42.0500;19.9000;Albania;3607
Roskovec;40.7375;19.7022;Albania;6657
Rreshen;41.7667;19.8833;Albania;8803
Rrogozhine;41.0761;19.6667;Albania;7049
Sarande;39.8833;20.0167;Albania;41000
Shengjin;41.8136;19.5939;Albania;8091
Shijak;41.3456;19.5672;Albania;7568
Shkoder;42.0667;19.5000;Albania;112276
Sukth;41.3833;19.5333;Albania;15966
Tepelene;40.3000;20.0167;Albania;4342
Tirana;41.3300;19.8200;Albania;418495
Vau i Dejes;42.0000;19.6333;Albania;8117
Vlore;40.4500;19.4833;Albania;130827
'Ain Abessa;36.3000;5.2950;Algeria;16770
'Ain Arnat;36.1833;5.3167;Algeria;43551
'Ain Azel;35.8433;5.5219;Algeria;48487
'Ain Roua;36.3344;5.1806;Algeria;11499
'Ain el Hammam;36.5714;4.3097;Algeria;20401
Abadla;31.0167;-2.7333;Algeria;14364
Abalessa;22.8900;4.8472;Algeria;9163
Adrar;27.8742;-0.2939;Algeria;68276
Afir;36.7676;3.7029;Algeria;13223
Ain Beida;35.7964;7.3928;Algeria;116064
Ain Defla;36.2583;1.9583;Algeria;1000
Ain Oussera;35.4489;2.9044;Algeria;101239
Ain Sefra;32.7500;-0.5833;Algeria;63420
Ain Temouchent;35.3044;-1.1400;Algeria;1000
Ain Zaouia;36.5483;3.8942;Algeria;17320
Ait Bou Madhi;36.5009;4.2000;Algeria;6113
Ait Yaich;36.5811;4.3303;Algeria;14439
Akbou;36.4667;4.5333;Algeria;52282
Algiers;36.7764;3.0586;Algeria;3415811
Amalou;36.4778;4.6333;Algeria;8602
Amoucha;36.3880;5.4108;Algeria;22767
Annaba;36.9000;7.7667;Algeria;257359
Aomar;36.5000;3.7833;Algeria;20532
Arbaoun;36.4667;5.6500;Algeria;19383
Arhribs;36.8022;4.3227;Algeria;12474
Azazga;36.7453;4.3711;Algeria;34683
Azeffoun;36.8961;4.4204;Algeria;16847
Azzaba;36.7333;7.1000;Algeria;56922
Batna;35.5500;6.1667;Algeria;290645
Bechar;31.6333;-2.2000;Algeria;165627
Bechloul;36.3167;4.0667;Algeria;11775
Bejaia;36.7511;5.0642;Algeria;176139
Ben N'Choud;36.8624;3.8806;Algeria;9985
Ben Nasseur;33.1107;6.4410;Algeria;10330
Beni Abbes;30.0800;-2.1000;Algeria;10885
Beni Aissi;29.6000;0.2500;Algeria;7628
Beni Amrane;36.6686;3.5922;Algeria;23621
Beni Douala;36.6167;4.0667;Algeria;21551
Beni Fouda;36.2861;5.6071;Algeria;17667
Beni Ounif;32.0500;-1.2500;Algeria;5628
Bir Ghbalou;36.2631;3.5866;Algeria;11016
Biskra;34.8500;5.7333;Algeria;204661
Blida;36.4722;2.8333;Algeria;331779
Boghni;36.5437;3.9523;Algeria;31263
Bordj Bou Arreridj;36.0667;4.7667;Algeria;168346
Bordj Menaiel;36.7417;3.7231;Algeria;64820
Bordj Mokhtar;21.3289;0.9542;Algeria;16437
Bordj Okhriss;36.0833;3.9667;Algeria;10467
Bou Nouh;36.5000;3.9333;Algeria;9731
Bou Saada;35.2083;4.1739;Algeria;111787
Boudjima;36.8140;4.1588;Algeria;15628
Boufarik;36.5750;2.9097;Algeria;57162
Bouira;36.3783;3.8925;Algeria;68545
Boukhralfa;36.6144;5.0872;Algeria;8766
Boumerdes;36.7594;3.4728;Algeria;41685
Charouine;29.0167;-0.2667;Algeria;11347
Chlef;36.1647;1.3317;Algeria;155134
Chorfa;36.3617;4.3307;Algeria;16173
Constantine;36.3650;6.6147;Algeria;448374
Dellys;36.9167;3.8833;Algeria;32954
Didouche Mourad;36.4484;6.6339;Algeria;33266
Djanet;24.5550;9.4853;Algeria;14655
Djelfa;34.6667;3.2500;Algeria;265833
Djinet;36.8770;3.7231;Algeria;21966
Draa Ben Khedda;36.7349;3.9556;Algeria;31382
Draa el Mizan;36.5333;3.8333;Algeria;38886
El Adjiba;36.3333;4.1500;Algeria;12486
El Bayadh;33.6831;1.0192;Algeria;85577
El Eulma;36.1528;5.6900;Algeria;155038
El Golea;30.6000;2.9000;Algeria;40195
El Main;36.3667;4.7500;Algeria;6238
El Meghaier;33.9506;5.9242;Algeria;1000
El Milia;36.7500;6.2667;Algeria;83931
El Oued;33.3683;6.8675;Algeria;134699
El Tarf;36.7669;8.3136;Algeria;25594
Es Senia;35.6478;-0.6239;Algeria;96928
Freha;36.7620;4.3163;Algeria;24228
Ghardaia;32.4833;3.6667;Algeria;120000
Guelma;36.4619;7.4258;Algeria;120004
Hassi Messaoud;31.7000;6.0667;Algeria;45147
I-n-Amenas;28.0500;9.5500;Algeria;9225
I-n-Amguel;23.6936;5.1647;Algeria;3030
I-n-Salah;27.1936;2.4606;Algeria;32518
Iferhounene;36.5338;4.3701;Algeria;12460
Ifigha;36.6667;4.4167;Algeria;9160
Iflissen;36.8636;4.2203;Algeria;14311
Illizi;26.5080;8.4829;Algeria;17252
In Guezzam;19.5686;5.7722;Algeria;7045
Jijel;36.8206;5.7667;Algeria;131513
Kadiria;36.5333;3.6833;Algeria;22327
Khenchela;35.4167;7.1333;Algeria;108580
L'Arbaa Nait Irathen;36.6367;4.2067;Algeria;29376
Laghouat;33.8000;2.8650;Algeria;134372
Lakhdaria;36.6167;3.5833;Algeria;59746
M'Sila;35.7058;4.5419;Algeria;150000
Makouda;36.7909;4.0669;Algeria;23388
Mascara;35.4000;0.1333;Algeria;108587
Mecheria;33.5500;-0.2833;Algeria;65043
Mechtras;36.5448;4.0049;Algeria;12683
Medea;36.2675;2.7500;Algeria;138355
Mekla;36.6876;4.2681;Algeria;24237
Messaad;34.1542;3.4969;Algeria;102453
Mila;36.4481;6.2622;Algeria;1000
Mostaganem;35.9333;0.0903;Algeria;145696
Moudjbara;34.5037;3.4704;Algeria;14052
Naama;33.2678;-0.3111;Algeria;16251
Naciria;36.7500;3.8333;Algeria;22431
Oran;35.6969;-0.6331;Algeria;852000
Ouadhia;36.5500;4.0833;Algeria;15771
Ouargla;31.9500;5.3167;Algeria;133024
Ouled Djellal;34.4167;5.0667;Algeria;1000
Ouled Moussa;36.6831;3.3681;Algeria;45770
Ouled Rached;36.2119;4.1106;Algeria;9311
Oum el Bouaghi;35.8706;7.1150;Algeria;100821
Reggane;26.7000;0.1667;Algeria;20402
Relizane;35.7372;0.5558;Algeria;130094
Saida;34.8303;0.1517;Algeria;128413
Sali;26.9833;-0.0333;Algeria;13138
Seddouk Oufella;36.6061;4.6389;Algeria;8931
Setif;36.1900;5.4100;Algeria;288461
Si Mustapha;36.7247;3.6153;Algeria;12087
Sidi Bel Abbes;35.2000;-0.6333;Algeria;212935
Sidi Daoud;36.8500;3.8500;Algeria;16900
